PMID,Title,Authors,Affiliations,Corresponding Author Email
40064586,Remodeling Process of the Tendon Graft After Anterior Cruciate Ligament Reconstruction: Comprehensive Analysis With RNA Sequencing in a Murine Model.,Susumu Wada; Takayuki Fujii; Camila B Carballo; Yuki Suzuki; Zhe Song; Yake Liu; Xueying Zhang; Brett J Croen; Reyna Bhandari; Xiang-Hua Deng; Scott A Rodeo,"Laboratory for Joint Tissue Repair and Regeneration, Orthopedic Soft Tissue Research Program, The Hospital for Special Surgery, New York, New York, USA.; Laboratory for Joint Tissue Repair and Regeneration, Orthopedic Soft Tissue Research Program, The Hospital for Special Surgery, New York, New York, USA.; Laboratory for Joint Tissue Repair and Regeneration, Orthopedic Soft Tissue Research Program, The Hospital for Special Surgery, New York, New York, USA.; Laboratory for Joint Tissue Repair and Regeneration, Orthopedic Soft Tissue Research Program, The Hospital for Special Surgery, New York, New York, USA.; Laboratory for Joint Tissue Repair and Regeneration, Orthopedic Soft Tissue Research Program, The Hospital for Special Surgery, New York, New York, USA.; Laboratory for Joint Tissue Repair and Regeneration, Orthopedic Soft Tissue Research Program, The Hospital for Special Surgery, New York, New York, USA.; Laboratory for Joint Tissue Repair and Regeneration, Orthopedic Soft Tissue Research Program, The Hospital for Special Surgery, New York, New York, USA.; Laboratory for Joint Tissue Repair and Regeneration, Orthopedic Soft Tissue Research Program, The Hospital for Special Surgery, New York, New York, USA.; Laboratory for Joint Tissue Repair and Regeneration, Orthopedic Soft Tissue Research Program, The Hospital for Special Surgery, New York, New York, USA.; Laboratory for Joint Tissue Repair and Regeneration, Orthopedic Soft Tissue Research Program, The Hospital for Special Surgery, New York, New York, USA.; Laboratory for Joint Tissue Repair and Regeneration, Orthopedic Soft Tissue Research Program, The Hospital for Special Surgery, New York, New York, USA.",N/A
40064564,Development of an enzymatic cascade for semi de novo ATP production using thermophilic enzymes.,Takuma Suzuki; Suryatin Alim Gladwin; Kentaro Miyazaki; Hiroya Tomita; Kohsuke Honda,"International Center for Biotechnology, Osaka University, 2-1 Yamadaoka, Suita, Osaka 565-0871, Japan.; International Center for Biotechnology, Osaka University, 2-1 Yamadaoka, Suita, Osaka 565-0871, Japan.; International Center for Biotechnology, Osaka University, 2-1 Yamadaoka, Suita, Osaka 565-0871, Japan.; International Center for Biotechnology, Osaka University, 2-1 Yamadaoka, Suita, Osaka 565-0871, Japan; Institute for Open and Transdisciplinary Research Initiatives, Osaka University, 2-1 Yamadaoka, Suita, Osaka 565-0871, Japan.; International Center for Biotechnology, Osaka University, 2-1 Yamadaoka, Suita, Osaka 565-0871, Japan; Institute for Open and Transdisciplinary Research Initiatives, Osaka University, 2-1 Yamadaoka, Suita, Osaka 565-0871, Japan. Electronic address: honda.kohsuke.icb@osaka-u.ac.jp.","International Center for Biotechnology, Osaka University, 2-1 Yamadaoka, Suita, Osaka 565-0871, Japan; Institute for Open and Transdisciplinary Research Initiatives, Osaka University, 2-1 Yamadaoka, Suita, Osaka 565-0871, Japan. Electronic address: honda.kohsuke.icb@osaka-u.ac.jp."
40064550,Sulfamethoxazole Transformation by Heat-Activated Persulfate: Linking Transformation Products Patterns with Carbon and Nitrogen Isotope Fractionation.,Xiao Liu; Jimmy Köpke; Caglar Akay; Steffen Kümmel; Gwenaël Imfeld,"Institut Terre et Environnement de Strasbourg (ITES), Université de Strasbourg/EOST/ENGEES, CNRS UMR 7063, F-67084 Strasbourg, France.; Department of Molecular Environmental Biotechnology, Helmholtz Centre for Environmental Research-UFZ, Permoserstraße 15, 04318 Leipzig, Germany.; Department of Molecular Environmental Biotechnology, Helmholtz Centre for Environmental Research-UFZ, Permoserstraße 15, 04318 Leipzig, Germany.; Department of Technical Biogeochemistry, Helmholtz Centre for Environmental Research-UFZ, Permoserstraße 15, 04318 Leipzig, Germany.; Institut Terre et Environnement de Strasbourg (ITES), Université de Strasbourg/EOST/ENGEES, CNRS UMR 7063, F-67084 Strasbourg, France.",N/A
40064537,Proteomic analysis reveals immune-related proteins of coelomic fluid in Urechis unicinctus.,Sijie Wang; Yuxin Wu; Baiyu Li; Chenxiao Xi; Xiangjun Deng; Guanran Ye; Xinghong Xu,"College of Marine Science and Fisheries, Jiangsu Ocean University, Lianyungang, Jiangsu 222005, China.; College of Marine Science and Fisheries, Jiangsu Ocean University, Lianyungang, Jiangsu 222005, China.; College of Marine Science and Fisheries, Jiangsu Ocean University, Lianyungang, Jiangsu 222005, China.; College of Marine Science and Fisheries, Jiangsu Ocean University, Lianyungang, Jiangsu 222005, China.; College of Marine Science and Fisheries, Jiangsu Ocean University, Lianyungang, Jiangsu 222005, China.; College of Marine Science and Fisheries, Jiangsu Ocean University, Lianyungang, Jiangsu 222005, China.; College of Marine Science and Fisheries, Jiangsu Ocean University, Lianyungang, Jiangsu 222005, China; Jiangsu Key Laboratory of Marine Resources and Environment, Jiangsu Ocean University, Lianyungang, Jiangsu 222005, China; Jiangsu Key Laboratory of Marine Biotechnology, Jiangsu Ocean University, Lianyungang, Jiangsu 222005, China; Co-Innovation Center of Jiangsu Marine Bio-industry Technology, Lianyungang, Jiangsu 222005, China. Electronic address: xhxu119@163.com.","College of Marine Science and Fisheries, Jiangsu Ocean University, Lianyungang, Jiangsu 222005, China; Jiangsu Key Laboratory of Marine Resources and Environment, Jiangsu Ocean University, Lianyungang, Jiangsu 222005, China; Jiangsu Key Laboratory of Marine Biotechnology, Jiangsu Ocean University, Lianyungang, Jiangsu 222005, China; Co-Innovation Center of Jiangsu Marine Bio-industry Technology, Lianyungang, Jiangsu 222005, China. Electronic address: xhxu119@163.com."
40064517,Microdroplet-Mediated Enzyme Activity Enhancement for Potentiometric Sensing of Peroxidase in Soil.,Yinhao Li; Jiawang Ding; Wei Qin,"CAS Key Laboratory of Coastal Environmental Processes and Ecological Remediation, Yantai Institute of Coastal Zone Research (YIC), Chinese Academy of Sciences (CAS), Shandong Key Laboratory of Coastal Environmental Processes, YICCAS, Yantai, Shandong 264003, People's Republic of China.; CAS Key Laboratory of Coastal Environmental Processes and Ecological Remediation, Yantai Institute of Coastal Zone Research (YIC), Chinese Academy of Sciences (CAS), Shandong Key Laboratory of Coastal Environmental Processes, YICCAS, Yantai, Shandong 264003, People's Republic of China.; CAS Key Laboratory of Coastal Environmental Processes and Ecological Remediation, Yantai Institute of Coastal Zone Research (YIC), Chinese Academy of Sciences (CAS), Shandong Key Laboratory of Coastal Environmental Processes, YICCAS, Yantai, Shandong 264003, People's Republic of China.",N/A
40064439,Reshaped local microbiology metabolism by raw tea according to pile fermentation in the dark tea.,Yating Guo; Yani Pan; Xinyu Feng; Haowei Guo; Liping Liu; Kexin Zhang; Haojun Xie; Binkai Zhu; Shuying Gong; Qiang Chu; Hua Fang; Ping Chen,"Tea Research Institute, College of Agriculture & Biotechnology, Zhejiang University, Hangzhou 310058, China.; Tea Research Institute, College of Agriculture & Biotechnology, Zhejiang University, Hangzhou 310058, China.; Tea Research Institute, College of Agriculture & Biotechnology, Zhejiang University, Hangzhou 310058, China.; Tea Research Institute, College of Agriculture & Biotechnology, Zhejiang University, Hangzhou 310058, China.; Huzhou Key Laboratory of Innovation and Application of Agricultural Germplasm Resources, Huzhou Academy of Agricultural Sciences, Huzhou 313001, China.; Huzhou Key Laboratory of Innovation and Application of Agricultural Germplasm Resources, Huzhou Academy of Agricultural Sciences, Huzhou 313001, China.; Yuyao Agricultural Mechanization Technology Promotion Center, Yuyao 315400, China.; Zhejiang Wuyi Camelkowloon Brick Tea Co., LTD, Wuyi 321200, China.; Tea Research Institute, College of Agriculture & Biotechnology, Zhejiang University, Hangzhou 310058, China.; Tea Research Institute, College of Agriculture & Biotechnology, Zhejiang University, Hangzhou 310058, China. Electronic address: 0619363@zju.edu.cn.; Institute of Pesticide and Environmental Toxicology, College of Agriculture & Biotechnology, Zhejiang University, Hangzhou 310058, China. Electronic address: agri@zju.edu.cn.; Tea Research Institute, College of Agriculture & Biotechnology, Zhejiang University, Hangzhou 310058, China. Electronic address: pingchen@zju.edu.cn.","Tea Research Institute, College of Agriculture & Biotechnology, Zhejiang University, Hangzhou 310058, China. Electronic address: pingchen@zju.edu.cn."
40064436,Mechanism and engineering of endoplasmic reticulum-localized membrane protein folding in Saccharomyces cerevisiae.,Yuhuan Luo; Jian-Jiang Zhong; Han Xiao,"State Key Laboratory of Microbial Metabolism, Joint International Research Laboratory of Metabolic & Developmental Sciences, School of Life Sciences and Biotechnology, Shanghai Jiao Tong University, 800 Dong-chuan Road, Shanghai, 200240, China.; State Key Laboratory of Microbial Metabolism, Joint International Research Laboratory of Metabolic & Developmental Sciences, School of Life Sciences and Biotechnology, Shanghai Jiao Tong University, 800 Dong-chuan Road, Shanghai, 200240, China. Electronic address: jjzhong@sjtu.edu.cn.; State Key Laboratory of Microbial Metabolism, Joint International Research Laboratory of Metabolic & Developmental Sciences, School of Life Sciences and Biotechnology, Shanghai Jiao Tong University, 800 Dong-chuan Road, Shanghai, 200240, China. Electronic address: smallhan@sjtu.edu.cn.","State Key Laboratory of Microbial Metabolism, Joint International Research Laboratory of Metabolic & Developmental Sciences, School of Life Sciences and Biotechnology, Shanghai Jiao Tong University, 800 Dong-chuan Road, Shanghai, 200240, China. Electronic address: smallhan@sjtu.edu.cn."
40064423,Activation of gut microbiota-hif1α axis effectively restores resistance to Aeromonas veronii caused by improper administration of AiiO-AIO6.,Hongwei Yang; Rui Xia; Tsegay Teame; Delong Meng; Shenghui Li; Tiantian Wang; Qianwen Ding; Yuanyuan Yao; Xiaoqing Xu; Yalin Yang; Chao Ran; Yaqing Zhang; Shengkang Li; Benjamin Niemann; Le Luo Guan; Zhen Zhang; Zhigang Zhou,"China-Norway Joint Lab on Fish Gut Microbiota, Institute of Feed Research, Chinese Academy of Agricultural Sciences, Beijing, 100081, China; Institute of Marine Sciences, Shantou University, Shantou 515063, China.; China-Norway Joint Lab on Fish Gut Microbiota, Institute of Feed Research, Chinese Academy of Agricultural Sciences, Beijing, 100081, China.; Key Laboratory for Feed Biotechnology of the Ministry of Agriculture, Institute of Feed Research, Chinese Academy of Agricultural Sciences, Beijing 100081, China; Tigray Agricultural Research Institute (TARI), Mekelle, Tigray 7000, Ethiopia.; China-Norway Joint Lab on Fish Gut Microbiota, Institute of Feed Research, Chinese Academy of Agricultural Sciences, Beijing, 100081, China.; China-Norway Joint Lab on Fish Gut Microbiota, Institute of Feed Research, Chinese Academy of Agricultural Sciences, Beijing, 100081, China.; China-Norway Joint Lab on Fish Gut Microbiota, Institute of Feed Research, Chinese Academy of Agricultural Sciences, Beijing, 100081, China.; Key Laboratory for Feed Biotechnology of the Ministry of Agriculture, Institute of Feed Research, Chinese Academy of Agricultural Sciences, Beijing 100081, China.; Key Laboratory for Feed Biotechnology of the Ministry of Agriculture, Institute of Feed Research, Chinese Academy of Agricultural Sciences, Beijing 100081, China.; Key Laboratory for Feed Biotechnology of the Ministry of Agriculture, Institute of Feed Research, Chinese Academy of Agricultural Sciences, Beijing 100081, China.; Key Laboratory for Feed Biotechnology of the Ministry of Agriculture, Institute of Feed Research, Chinese Academy of Agricultural Sciences, Beijing 100081, China.; Key Laboratory for Feed Biotechnology of the Ministry of Agriculture, Institute of Feed Research, Chinese Academy of Agricultural Sciences, Beijing 100081, China.; Beijing Jingwa Agricultural Science & Technology Innovation Center, Beijing, China.; Institute of Marine Sciences, Shantou University, Shantou 515063, China.; Faculty of Land and Food Systems, The University of British Columbia, Vancouver, Canada.; Faculty of Land and Food Systems, The University of British Columbia, Vancouver, Canada.; Key Laboratory for Feed Biotechnology of the Ministry of Agriculture, Institute of Feed Research, Chinese Academy of Agricultural Sciences, Beijing 100081, China; Faculty of Land and Food Systems, The University of British Columbia, Vancouver, Canada. Electronic address: zhangzhen@caas.cn.; China-Norway Joint Lab on Fish Gut Microbiota, Institute of Feed Research, Chinese Academy of Agricultural Sciences, Beijing, 100081, China. Electronic address: zhouzhigang03@caas.cn.","China-Norway Joint Lab on Fish Gut Microbiota, Institute of Feed Research, Chinese Academy of Agricultural Sciences, Beijing, 100081, China. Electronic address: zhouzhigang03@caas.cn."
40064401,Light-mediated Activation/Deactivation Control and in vitro ADMETox Profiling of a Donepezil-like Dual AChE/MAO-B Inhibitor.,Federica Poggialini; Paolo Governa; Chiara Vagaggini; Samuele Maramai; Stefania Lamponi; Claudia Mugnaini; Antonella Brizzi; Rosa Purgatorio; Modesto De Candia; Marco Catto; Elena Dreassi; Fabrizio Manetti; Federico Corelli; Cosimo Damiano Altomare; Andrea Cappelli; Marco Paolino,"Department of Biotechnology, Chemistry and Pharmacy, University of Siena, Via A. Moro 2, I-53100, Siena, Italy.; Department of Biotechnology, Chemistry and Pharmacy, University of Siena, Via A. Moro 2, I-53100, Siena, Italy.; Department of Biotechnology, Chemistry and Pharmacy, University of Siena, Via A. Moro 2, I-53100, Siena, Italy.; Department of Biotechnology, Chemistry and Pharmacy, University of Siena, Via A. Moro 2, I-53100, Siena, Italy.; Department of Biotechnology, Chemistry and Pharmacy, University of Siena, Via A. Moro 2, I-53100, Siena, Italy.; Department of Biotechnology, Chemistry and Pharmacy, University of Siena, Via A. Moro 2, I-53100, Siena, Italy.; Department of Biotechnology, Chemistry and Pharmacy, University of Siena, Via A. Moro 2, I-53100, Siena, Italy.; Department of Pharmacy-Pharmaceutical Sciences, University of Bari Aldo Moro, Via E. Orabona 4, 70125, Bari, Italy.; Department of Pharmacy-Pharmaceutical Sciences, University of Bari Aldo Moro, Via E. Orabona 4, 70125, Bari, Italy.; Department of Pharmacy-Pharmaceutical Sciences, University of Bari Aldo Moro, Via E. Orabona 4, 70125, Bari, Italy.; Department of Biotechnology, Chemistry and Pharmacy, University of Siena, Via A. Moro 2, I-53100, Siena, Italy.; Department of Biotechnology, Chemistry and Pharmacy, University of Siena, Via A. Moro 2, I-53100, Siena, Italy.; Department of Biotechnology, Chemistry and Pharmacy, University of Siena, Via A. Moro 2, I-53100, Siena, Italy.; Department of Pharmacy-Pharmaceutical Sciences, University of Bari Aldo Moro, Via E. Orabona 4, 70125, Bari, Italy.; Department of Biotechnology, Chemistry and Pharmacy, University of Siena, Via A. Moro 2, I-53100, Siena, Italy.; Department of Biotechnology, Chemistry and Pharmacy, University of Siena, Via A. Moro 2, I-53100, Siena, Italy. Electronic address: paolino3@unisi.it.","Department of Biotechnology, Chemistry and Pharmacy, University of Siena, Via A. Moro 2, I-53100, Siena, Italy. Electronic address: paolino3@unisi.it."
40064365,miR-124-mediated temozolomide sensitivity and DNA repair modulation in Glioblastoma Multiforme.,Maryam Mafi Golchin; Ehsan Arefian; Zahra Fekrirad; Gholamreza Hashemi Tabar,"Department of Biotechnology, Faculty of Veterinary Medicine, Ferdowsi University of Mashhad, Mashhad, Iran.; Department of Microbiology, School of Biology, College of Science, University of Tehran, Tehran, Iran. Electronic address: arefian@ut.ac.ir.; Department of Biology, Faculty of Basic Sciences, Shahed University, Tehran, Iran.; Department of Pathobiology, Faculty of Veterinary Medicine, Ferdowsi University of Mashhad, Mashhad, Iran. Electronic address: hashemit@um.ac.ir.","Department of Pathobiology, Faculty of Veterinary Medicine, Ferdowsi University of Mashhad, Mashhad, Iran. Electronic address: hashemit@um.ac.ir."
